Country,2021,2020,mean,unit
Algeria,7.43,6.6,7.015,billion
Angola,23.34,16.261,19.8005,billion
Congo-Brazzaville,5.35,3.959,4.6545,billion
Equatorial Guinea,1.33,1.276,1.303,billion
Gabon,3.02,3.63,3.325,billion
Iran,25.76,20.46,23.11,billion
Iraq,37.3,30.18,33.74,billion
Kuwait,22.13,14.29,18.21,billion
Libya,5.38,2.69,4.035,billion
Nigeria,25.68,19.23,22.455,billion
Saudi Arabia,152.95,141.36,147.155,billion
The United Arab Emirates,236.62,207.28,221.95,billion
Venezuela,11.16,20.94,16.05,billion
