Country,Media,Time,Title,Links,Attitude,Key_words,Distance
Algeria,Algérie Presse Service,,找不到相关新闻,,,,9113km
Algeria,télévision algérienne,,打不开，禁止访问,,,,
Algeria,El Moudjahid,,找不到相关新闻,,,,
Algeria,El Watan,01/18/2023,中国：“Covid 零”增长放缓,https://elwatan-dz.com/chine-le-zero-covid-a-donne-un-coup-de-mou-a-la-croissance,middle,,
Algeria,,11/07/2022,尽管采取了多次限制措施，但中国的 Covid 仍处于六个月以来的最高水平,https://elwatan-dz.com/le-covid-en-chine-au-plus-haut-depuis-six-mois-malgre-de-nombreux-confinement,negative,多次封锁扰乱了经济和日常生活,
Algeria,,2023 年 1 月 21 日,中国：面对新冠疫情，传统医学是一种力量,https://elwatan-dz.com/chine-la-medecine-traditionnelle-en-renfort-face-a-la-covid,middle,,
Algeria,,01/02/2023,中国数亿人感染新冠病毒：阿尔及利亚为何放松警惕,https://elwatan-dz.com/des-centaines-de-millions-de-personnes-contaminees-par-le-covid-en-chine-pourquoi-lalgerie-a-baisse-la-garde,middle,,
Algeria,,2023 年 1 月 10 日,北京通过暂停签证回应首尔和东京的反Covid措施,https://elwatan-dz.com/pekin-riposte-aux-mesures-anti-covid-de-seoul-et-tokyo-en-suspendant-des-visas,middle,,
Algeria,,24/01/2023,中国：三年后，武汉翻开了新冠疫情的一页,https://elwatan-dz.com/chine-trois-ans-apres-wuhan-a-tourne-la-page-de-la-covid,positive,,
Algeria,,21/03/2022,Covid-19 和群体免疫保护：“零 Covid”策略注定要失败,https://elwatan-dz.com/covid-19-et-protection-par-limmunite-collective-la-strategie-zero-covid-est-vouee-a-lechec,negative,,
Algeria,,2023 年 1 月 21 日,中国的重新开放及其对世界经济和阿尔及利亚经济的影响,https://elwatan-dz.com/la-reouverture-de-la-chine-et-ses-implications-sur-leconomie-mondiale-et-celle-de-lalgerie,middle,,
Algeria,Echorouk,01/03/2023,北京：对来自中国的人施加的电晕限制是“不可接受的,https://www.echoroukonline.com/%d8%a8%d9%83%d9%8a%d9%86-%d9%82%d9%8a%d9%88%d8%af-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%a7%d9%84%d9%85%d9%81%d8%b1%d9%88%d8%b6%d8%a9-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%82%d8%a7%d8%af%d9%85%d9%8a,middle,,
Algeria,,2020/3/30,Covid-19：中国正在建设野战医院以阻止病毒在阿尔及利亚传播,https://www.echoroukonline.com/covid-19-china-is-building-a-field-hospital-to-stem-the-virus-spread-in-algeria,middle,,
Algeria,,2020/11/26,向中国施压，要求其公布其疫苗有效性的结果,https://www.echoroukonline.com/%d8%b6%d8%ba%d9%88%d8%b7%d8%a7%d8%aa-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%b5%d9%8a%d9%86-%d9%84%d8%a5%d8%b9%d9%84%d8%a7%d9%86-%d9%86%d8%aa%d8%a7%d8%a6%d8%ac-%d9%81%d8%b9%d8%a7%d9%84%d9%8a%d8%a9-%d9%84,middle,,
Algeria,,,,,,,
Algeria,,,,,,,
Algeria,,,,,,,
Angola,O Pais,03/09/2020,中国新的 Covid-19 病例数继续下降,https://opais.co.mz/numero-de-novos-casos-de-covid19-continua-a-cair-na-china/,middle,支持：,
Angola,,10/13/2020,中国：六名感染 COVID-19 的人结束了 57 天没有本地病例,https://opais.co.mz/china-seis-infectados-pela-covid-19-colocam-fim-a-57-dias-sem-casos-locais/,middle,,
Angola,,12/24/2020,COVID-19：由于新的病毒变种，中国暂停与英国的航班,https://opais.co.mz/covid-19-china-suspende-voos-com-reino-unido-devido-a-nova-variante-do-virus/,middle,,
Angola,,"
03/28/2022",COVID-19：中国要求对来自国外的人员在出发前 12 小时进行阴性测试,https://opais.co.mz/covid-19-china-exige-teste-negativo-feito-12-horas-antes-da-partida-a-quem-chega-do-estrangeiro/,middle,,
Angola,,08/19/2022,中国测试海洋动物以防止 COVID-19 传播,https://opais.co.mz/china-testa-animais-marinhos-para-evitar-propagacao-da-covid-19/,middle,,
Angola,,11/29/2022,示威后中国放宽针对 COVID-19 的措施,https://opais.co.mz/china-relaxa-medidas-contra-covid-19-apos-manifestacoes/,middle,,
Angola,,12/14/2022,中国停止发布无症状 COVID-19 病例的数据,https://opais.co.mz/china-deixa-de-publicar-dados-sobre-casos-assintomaticos-da-covid-19/,middle,,
Angola,jornaldeangola.,07/24/2021,中国承诺分析武汉爆发前的血液样本,https://www.jornaldeangola.ao/ao/noticias/china-promete-analisar-amostras-de-sangue-anteriores-ao-surto-em-wuhan/,negative,傲慢自大,
Angola,,05/08/2021,中国隔离城市并惩罚官员,https://www.jornaldeangola.ao/ao/noticias/china-isola-cidade-e-pune-funcionarios/,negative,通过极其严格的边境控制和地方疏远和检疫措施,
Angola,,09/08/2021,Delta 变种违反“零病例”政策,https://www.jornaldeangola.ao/ao/noticias/variante-delta-desafia-politica-de-zero-casos/,negative,这种“零病例”策略对数百万人的收入和生活产生了影响,
Angola,,08/10/2021,中国：结束对武汉市 1100 万居民的筛查,https://www.jornaldeangola.ao/ao/noticias/china-fim-do-rastreio-aos-11-milhoes-de-habitantes-da-cidade-de-wuhan/,middle,,
Angola,,13/08/2021,中国关闭了世界主要港口之一的一部分,https://www.jornaldeangola.ao/ao/noticias/chineses-encerram-parte-de-um-dos-principais-portos-do-mundo/,negative,监禁；导致货物运输延误数周,
Angola,,08/18/2021,中国医生被控抄袭,https://www.jornaldeangola.ao/ao/noticias/medico-chines-acusado-de-plagio/,negative,这种“零容忍”策略正在影响数百万人的收入和生活；,
Angola,,2021 年 8 月 23 日,安哥拉和中国同意派遣更多医生,https://www.jornaldeangola.ao/ao/noticias/angola-e-china-acordam-envio-de-mais-medicos/,middle,,
Angola,,09/08/2021,中国航空公司暂停旅客旅行,https://www.jornaldeangola.ao/ao/noticias/companhia-chinesa-suspende-viagem-de-passageiros/,negative,前所未有的要求,
Angola,,2021 年 9 月 20 日,中国声称已为91%的青少年接种疫苗,https://www.jornaldeangola.ao/ao/noticias/a-cooperacao-china-africa-cheia-de-energia-mesmo-durante-a-covid-19/,middle,,
Angola,,01/10/2022,中国可能因“零病例”政策而更加孤立,https://www.jornaldeangola.ao/ao/noticias/china-pode-ficar-mais-isolada-com-a-politica-de-zero-casos/,negative,中国可能因“零病例”政策而更加孤立,
Angola,,04/13/2022,中国专家反对放松限制,https://www.jornaldeangola.ao/ao/noticias/especialistas-chineses-estao-contra-o-aliviar-das-restricoes/,middle,,
Angola,,04/16/2022,中国必须对病毒保持零容忍：习近平,https://www.jornaldeangola.ao/ao/noticias/china-deve-manter-tolerancia-zero-ao-virus-diz-xi-jinping/,negative,法国投资银行 Natixis 在一份报告中表示，中国的“零 Covid”战略“注定会给已经放缓的经济增长带来另一个阻力”。,
Angola,,04/27/2022,北京将对2100万居民中的大部分进行检测,https://www.jornaldeangola.ao/ao/noticias/pequim-vai-testar-maioria-dos-21-milhoes-de-residentes/,middle,,
Angola,,2022 年 4 月 28 日,Covid-19：新一轮大规模测试将决定上海的重新开放,https://www.jornaldeangola.ao/ao/noticias/covid-19-nova-ronda-de-testes-em-massa-vai-decidir-reabertura-de-xangai/,,,
Angola,,2022 年 4 月 28 日,Covid-19：因疑似病例取消广州数百个航班,https://www.jornaldeangola.ao/ao/noticias/covid-19-centenas-de-voos-cancelados-em-cantao-devido-a-um-caso-suspeito/,middle,,
Angola,,2022 年 5 月 9 日,中国：北京关闭公园并施加限制以遏制 Covid-19 爆发,https://www.jornaldeangola.ao/ao/noticias/china-pequim-encerra-parques-e-impoe-restricoes-para-travar-surto-de-covid-19/,negative,他描述说：“尽管只有一栋楼有两名居民的 Covid-19 检测呈阳性，但所有建筑物都被封锁了”。“这有意义吗？”他问,
Angola,,10/26/2022,Covid-19：中国推出吸入疫苗,https://www.jornaldeangola.ao/ao/noticias/covid-19-china-lanca-vacina-inalada/,middle,,
Angola,,2022 年 6 月 25 日,Covid-19：澳门在第二次人口测试后检测到 190 例,https://www.jornaldeangola.ao/ao/noticias/covid-19-macau-detecta-190-casos-depois-de-segundo-teste-a-populacao/,middle,,
