Country,air_line_distance(km),Latitude,Longitude,average ideal spread
Algeria,9113,28.0339,1.6596,0.668381084
Angola,10407,-11.2027,17.8739,0.57447601
Congo-Brazzaville,9875,-0.228,15.8277,0.457666594
Equatorial Guinea,10253,1.6508,10.2679,0.359696162
Garbon,10292,0.8037,11.6094,0.280600985
Iran,4612,32.4279,53.688,0.970769862
Iraq,5460,33.2232,43.6793,0.589245349
Kuwait,5290,29.3117,47.4818,0.427864787
Libya,8077,26.3351,17.2283,0.671643691
Nigeria,9908,9.082,8.6753,0.292236231
Saudi Arabia,5766,23.8859,45.0792,0.299432867
The United Arab Emirates,5001,23.9052,54.1353,0.333764587
Venezuela,15215,6.4238,-66.5897,0.650922808
China,0,35.8617,104.1954,0
